017
num-fields|64
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
11|283|0|24|23|332|155|51|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|139.0000|15.0000|13.0000|13.8611|42.3848|40.5444|13.5734|13.0635|18.5266|4.8568|5.7928|4.6894|5.1645|23.3837|19.8857|111.1295|31.5979|15447.0000|1.0285|1.0000|1.1759|146.1351|2.6980|0.9350|0.9097|0.9974|0.0000|126.0000|139.0000|18.5266|-50.0000|-90.0000|103.3813|113.2878|120.2734|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.360|416_Station40_09012015_10x_000001.tif|5BFA81BE-E283-4FB2-A014-DFA3DE686ED3
12|309|0|23|28|750|486|52|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|140.0000|20.0000|11.0000|16.1389|53.2132|47.6219|20.4226|9.5699|18.7282|4.8832|8.5513|3.5860|6.4212|29.3577|23.7904|159.4786|20.3387|22327.0000|1.6095|2.6839|1.2340|51.8298|2.7450|0.5819|0.5395|0.7009|0.0000|145.0000|140.0000|18.7282|-75.0000|10.0000|172.4429|154.7571|150.0500|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.409|416_Station40_09012015_10x_000001.tif|123F4F6B-49F3-4449-B342-F02A4D1C8D76
13|334|0|25|24|1007|108|52|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|168.0000|16.0000|14.0000|15.0833|45.7990|44.4044|14.7798|14.4864|24.5090|5.5862|6.3445|5.2411|5.8388|25.2673|22.0153|143.5833|16.2508|24122.0000|1.0000|1.0000|1.1477|40.9500|2.7450|0.9378|0.8924|0.9989|0.0000|151.5000|168.0000|24.5090|-65.0000|-90.0000|142.3690|143.2500|148.6786|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.409|416_Station40_09012015_10x_000001.tif|2F0FFE31-057D-4E01-8D7A-2F950796AEA2
14|361|0|30|29|734|357|53|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|269.0000|22.0000|19.0000|20.0556|63.4558|59.8363|20.2735|17.5777|46.9001|7.7275|9.6547|7.9996|8.5820|35.0086|30.5290|150.0037|28.2267|40351.0000|1.1912|1.0000|1.1467|74.3750|2.7920|0.8120|0.7187|0.9514|0.0000|261.0000|269.0000|46.9001|40.0000|-90.0000|147.4349|150.1673|155.7249|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.459|416_Station40_09012015_10x_000001.tif|B9462304-B19F-480E-8F43-AA5DFC91296A
15|393|0|23|24|762|754|69|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|136.0000|15.0000|13.0000|13.6111|41.2132|39.6405|13.6537|12.6792|17.9241|4.7772|5.7928|4.6894|5.0266|22.7373|19.3870|134.7574|26.3903|18327.0000|1.0000|1.0000|1.1728|111.0571|3.5880|0.9343|0.8783|0.9975|0.0000|122.5000|136.0000|17.9241|-85.0000|0.0000|137.2500|132.2059|141.3676|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.260|416_Station40_09012015_10x_000001.tif|07509270-39EC-4C6C-8240-797A23FD4898
16|418|0|35|25|784|737|69|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|252.0000|26.0000|14.0000|21.2222|71.1127|63.2456|27.8979|12.7863|43.0044|7.3997|11.8615|5.2411|9.2256|39.2329|32.4100|134.6548|28.6436|33933.0000|1.5969|2.6378|1.2105|117.6452|3.5880|0.4435|0.6543|0.6814|0.0000|267.0000|252.0000|43.0044|5.0000|-80.0000|135.3333|133.3175|139.7143|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.260|416_Station40_09012015_10x_000001.tif|5C9CB25E-C571-45FC-9D01-2C880F8EC7A5
17|455|0|44|52|136|751|81|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|634.0000|45.0000|28.0000|37.0000|187.1960|113.0835|44.8494|26.5843|136.6856|13.1922|22.3439|12.9650|17.9302|103.2760|59.9055|153.0505|23.3254|97034.0000|4.1683|11.0042|1.7240|37.1280|4.1960|0.2292|0.1449|0.6267|0.0000|900.5000|669.0000|145.6740|60.0000|-45.0000|156.9921|150.9385|153.5710|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.860|416_Station40_09012015_10x_000001.tif|D219E514-4816-4DF9-9CA4-3F35323D2026
18|501|0|28|26|240|516|82|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|172.0000|20.0000|14.0000|17.1389|59.7990|50.6714|18.3084|13.3805|25.3541|5.6817|8.5513|5.2411|6.9729|32.9911|25.4728|163.0058|21.7487|28037.0000|1.5722|2.5464|1.2952|33.0185|4.2430|0.7172|0.6517|0.8963|0.0000|188.5000|181.0000|27.2711|25.0000|-55.0000|165.2442|162.2674|161.1919|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.909|416_Station40_09012015_10x_000001.tif|9DA0FA2E-1165-4130-94F7-4ED436BFBA54
19|531|0|31|24|764|298|82|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|202.0000|22.0000|13.0000|17.6667|55.4558|52.4068|19.8779|13.0933|31.8202|6.3651|9.6547|4.6894|7.2641|30.5950|26.4302|137.8861|8.6974|27853.0000|1.2115|1.0000|1.1576|39.7083|4.2430|0.7483|0.8272|0.9079|0.0000|194.0000|202.0000|31.8202|10.0000|85.0000|136.3812|137.5099|143.6832|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.909|416_Station40_09012015_10x_000001.tif|F082B54C-EA5B-4AC1-9A6F-5EEAF3BA7B26
20|564|0|178|151|792|813|83|1|3|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|4086.0000|217.0000|37.0000|144.7778|531.4112|452.0560|224.0642|25.7282|1093.3260|37.3104|117.2363|17.9302|77.3912|293.1796|246.9166|118.3696|25.9809|483658.0000|5.4878|15.1745|1.1874|70.6852|4.2900|0.0000|0.4373|0.2050|0.0000|5919.0000|4095.0000|1095.8946|40.0000|-45.0000|115.3771|118.4075|125.9743|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.962|416_Station40_09012015_10x_000001.tif|DBE6B6C8-A304-43CA-95AC-018EE332DBA4
21|744|0|27|26|1043|441|83|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|184.0000|18.0000|16.0000|16.6667|55.4558|49.4554|16.5608|14.5423|27.9146|5.9617|7.4479|6.3445|6.7124|30.5950|24.8019|114.9457|39.8220|21150.0000|1.3300|1.5210|1.2336|122.6667|4.2900|0.8267|0.7151|0.9646|0.0000|186.5000|184.0000|27.9146|-45.0000|-90.0000|110.3370|116.1848|120.3913|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:27.962|416_Station40_09012015_10x_000001.tif|00E8389E-D7B0-4830-8E23-984F7A10BEA2
